NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,CIENCIAS DE LA EDUCACION,10,Semestral,503491,3021412,8201337.8453080105
MATEMATICAS,MATEMATICAS,10,Semestral,527272,3125000,8588705.276501954
MEDICINA VETERINARIA Y ZOOTECNIA,VETERINARIA,10,Semestral,553897,3555556,9022398.470881447
QUIMICA,QUIMICA,10,Semestral,511931,3305556,8338816.551808027
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,1344838,3362637,18776566.217881043
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,1856974,3362637,25926985.462846402
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,2032706,3362637,28380547.55329943
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,4218575,3362637,58899549.858494125
ADMINISTRACION FINANCIERA,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",9,Semestral,2758173,3141667,38509484.39505101
ADMINISTRACION TURISTICA Y HOTELERA,GESTION Y ADMINISTRACION,8,Semestral,1972906,3362637,23319045.67827284
BIOLOGIA APLICADA,BIOLOGIA,10,Semestral,3688125,3444444,60075669.95383553
CIENCIA POLITICA,CIENCIAS POLITICAS Y EDUCACION CIVICA,10,Semestral,3151444,3535088,51333701.98190009
COMUNICACION SOCIAL Y PERIODISMO,"PERIODISMO, COMUNICACION Y REPORTAJES",8,Semestral,3603437,3307292,42591340.89600744
